No.,Vehicle W/0 Engine,Engine
41,"HYUNDAI SANTA FE  2001-2006
HYUNDAI SANTA FE  2003-2006
HYUNDAI SONATA  2003-2005
HYUNDAI XG350  2004-2005","2.4L L4
2.7L V6
3.5L V6"
42,"BUICK PARK AVENUE  1991-2005
BUICK PARK AVENUE  1997-2005
CADILLAC SEVILLE  1998-2004","3.8L V6
3.8L V6 Supercharged
4.6L V8"
43,HYUNDAI ACCENT  2001-2002,"1.5L L4
1.6L L4"
44,LEXUS ES300  1992-2001,3.0L V6
45,"MERCURY VILLAGER  1998
MERCURY VILLAGER  1999-2002
NISSAN QUEST  1998
NISSAN QUEST  1999-2002","3.0L V6
3.3L V6"
46,"CHEVROLET TRACKER  1999-2002
CHEVROLET TRACKER  1999-2003
CHEVROLET TRACKER  2001-2004
SUZUKI GRAND VITARA  1999-2002
SUZUKI GRAND VITARA  2001
SUZUKI VITARA  1999-2002
SUZUKI VITARA  1999-2003
SUZUKI VITARA  2004
SUZUKI XL-7  2002","1.6L L4
2.0L L4
2.5L V6
2.7L V6"
47,"CHEVROLET EPICA  2004-2009
SUZUKI VERONA  2004-2006",2.5L L6
48,"LEXUS LX470  1998-2007
TOYOTA LAND CRUISER  2006-2007",4.7L V8
49,MAZDA TRIBUTE  2010,3.0L V6
5,"JAGUAR VANDEN PLAS  2001
JAGUAR XJ8  2001-2002
JAGUAR XJR  2001-2003
JAGUAR XK8  1999","4.0L V8
4.0L V8 Supercharged"
50,JAGUAR XJ  2010,"5.0L V8
5.0L V8 Supercharged"
51,"FORD A SERIES TRUCK  1996-1998
FORD A SERIES TRUCK  1997-1998
FORD L SERIES TRUCK  1998","11.1L L6 DIESEL Turbocharged
12.0L DIESEL Turbocharged
12.7L L6 DIESEL Turbocharged"
52,"PETERBILT 325  2013
PETERBILT 330  2004-2007
PETERBILT 330  2008
PETERBILT 330  2008-2013
PETERBILT 335  2005-2007
PETERBILT 335  2005-2010
PETERBILT 335  2008","6.7L L6 DIESEL Turbocharged
6.7L L6 ELECTRIC/DIESEL Turbocharged
7.2L L6 DIESEL Turbocharged
8.3L L6 DIESEL Turbocharged"
53,"FREIGHTLINER 108SD  2012
FREIGHTLINER 114SD  2012
FREIGHTLINER FL70  2000-2003
FREIGHTLINER M2 106  2003-2006
FREIGHTLINER M2 106  2004-2006
FREIGHTLINER M2 106  2006-2012
FREIGHTLINER M2 106  2008-2013
FREIGHTLINER M2 112  2009-2013
FREIGHTLINER M2 112  2013","12.8L L6 DIESEL Turbocharged
6.4L L6 DIESEL Turbocharged
6.7L L6 DIESEL Turbocharged
7.2L L6 DIESEL Turbocharged
8.3L L6 DIESEL Turbocharged
8.8L L6 DIESEL Turbocharged
8.9L L6 DIESEL Turbocharged"
54,AUDI A6  2010,3.2L V6
55,"MERCEDES-BENZ G63 AMG  2016-2018
MERCEDES-BENZ G65 AMG  2014-2015
MERCEDES-BENZ SL500  2003-2006
MERCEDES-BENZ SL55 AMG  2003-2008
MERCEDES-BENZ SL550  2007-2012
MERCEDES-BENZ SL550  2013
MERCEDES-BENZ SL600  2003-2012
MERCEDES-BENZ SL63 AMG  2009-2012
MERCEDES-BENZ SL65 AMG  2005-2013
MERCEDES-BENZ SLR MCLAREN  2005-2009","4.7L V8 Turbocharged
5.0L V8
5.5L V12 Turbocharged
5.5L V8
5.5L V8 Supercharged
5.5L V8 Turbocharged
6.0L V12 Turbocharged
6.3L V8"
56,"SAAB 9-5  1999-2003
SAAB 9-5  1999-2009
SAAB 9-5  2002","2.3L L4 Turbocharged
3.0L V6
3.0L V6 Turbocharged"
57,"BMW 525I  2004-2009
BMW 525I  2006-2007
BMW 525XI  2006-2007
BMW 528I  2009-2011
BMW 530I  2004-2009
BMW 530XI  2006-2007
BMW 535I  2009-2013
BMW 535I GT  2010-2013
BMW 545I  2004-2006
BMW 550I  2006-2010
BMW 645CI  2005
BMW 650CI  2007-2011
BMW 650I  2006-2010
BMW M5  2006-2010
BMW M6  2006-2011
BMW X3  2011
BMW X5  2011
BMW X5  2011-2013","2.5L L6
3.0L L6
3.0L L6 Turbocharged
4.4L V8
4.8L V8
5.0L V10"
58,"JAGUAR F-PACE  2018-2024
JAGUAR F-TYPE  2014-2021
JAGUAR F-TYPE  2014-2024
JAGUAR F-TYPE  2018-2021
JAGUAR XK  2007-2009
JAGUAR XK  2010-2015
JAGUAR XKR  2007-2009
JAGUAR XKR  2010-2015","2.0L L4 Turbocharged
3.0L V6 Supercharged
4.2L V8
4.2L V8 Supercharged
5.0L V8
5.0L V8 Supercharged"
59,"LEXUS IS300  2001-2005
LEXUS RX300  1999-2003
TOYOTA HIGHLANDER  2001-2003
TOYOTA HIGHLANDER  2001-2007
TOYOTA HIGHLANDER  2004-2007
TOYOTA HIGHLANDER  2006-2007","2.4L L4
3.0L L6
3.0L V6
3.3L V6
3.3L V6 ELECTRIC/GAS"
6,BMW 120I  2005,2.0L L4
60,"MERCEDES-BENZ SL320  1997
MERCEDES-BENZ SL500  1997-2002","3.2L L6
5.0L V8"
61,"FORD BRONCO  2021-2024
FORD BRONCO  2022-2024
FORD F-600 SUPER DUTY  2021-2023
FORD RANGER  2024","2.3L L4 Turbocharged
2.7L V6 Turbocharged
3.0L V6 Turbocharged
6.7L V8 DIESEL Turbocharged"
62,FORD MUSTANG  2013-2014,"3.7L V6
5.0L V8
5.8L V8 Supercharged"
63,PETERBILT 348  2013,8.3L L6 DIESEL Turbocharged
64,"CHEVROLET AVEO  2009-2011
CHEVROLET AVEO5  2011",1.6L L4
65,"INTERNATIONAL  2554
INTERNATIONAL  2574
INTERNATIONAL  2654
INTERNATIONAL  2674
INTERNATIONAL  8000","1997-2003 12.0L DIESEL Turbocharged
1998-2003 10.3L L6 DIESEL Turbocharged
1998-2003 10.8L L6 DIESEL Turbocharged
1999 10.8L L6 DIESEL Turbocharged
SERIES 1998-2003 10.8L L6 DIESEL Turbocharged"
66,"PORSCHE CAYENNE  2016
RENAULT DUSTER  2016
RENAULT LOGAN  2016","1.6L L4
2.0L L4
4.1L V8 DIESEL Turbocharged"
67,"KIA OPTIMA  2011-2016
KIA OPTIMA  2016","1.6L L4 Turbocharged
2.0L L4 Turbocharged
2.4L L4
2.4L L4 ELECTRIC/GAS"
68,TESLA Y  2023,ELECTRIC
69,"MERCEDES-BENZ CLE300  2024
MERCEDES-BENZ GLE350  2020-2024
MERCEDES-BENZ GLE450  2020-2024
MERCEDES-BENZ GLE53 AMG  2021-2024
MERCEDES-BENZ GLE580  2020-2024
MERCEDES-BENZ GLE63 AMG  2021-2024","2.0L L4 Turbocharged
3.0L L6 Turbocharged
4.0L V8 Turbocharged"
7,"NISSAN ROGUE  2008-2013
NISSAN ROGUE SELECT  2014-2015
NISSAN SENTRA  2007-2012","2.0L L4
2.5L L4"
70,"ACURA INTEGRA  2023-2024
ACURA INTEGRA  2024
ACURA MDX  2022-2024
HONDA ACCORD  2023-2024","1.5L L4 Turbocharged
2.0L L4 ELECTRIC/GAS
2.0L L4 Turbocharged
3.0L V6 Turbocharged
3.5L V6"
71,"HYUNDAI NEXO  2019-2023
KIA CARNIVAL  2022-2023
KIA NIRO  2024","3.5L V6
ELECTRIC"
72,"MERCEDES-BENZ EQE 350  2023-2024
MERCEDES-BENZ EQE 350 SUV  2024
MERCEDES-BENZ EQE 350+  2023-2024
MERCEDES-BENZ EQE 500  2023-2024
MERCEDES-BENZ EQE 500 SUV  2024
MERCEDES-BENZ EQE AMG  2023-2024
MERCEDES-BENZ EQS 450  2024
MERCEDES-BENZ EQS 450 SUV  2023-2024
MERCEDES-BENZ EQS 450+  2022-2024
MERCEDES-BENZ EQS 580  2022-2024
MERCEDES-BENZ MAYBACH EQS 680 SUV  2024
MERCEDES-BENZ MAYBACH S680  2023-2024
MERCEDES-BENZ S580  2023-2024","3.0L L6 ELECTRIC/GAS Turbocharged
6.0L V12 Turbocharged
ELECTRIC"
